類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
櫃電機	9951	皇田	247.0	3.0	453.0	37	274	0.60%	0.05%	0.37%	賣轉買	賣轉買	連三週買超		80.6	-2.54%
光電	4942	嘉彰	-545.0	0.0	570.0	113	518	0.40%	0.08%	0.36%	連三週買超	連三週賣超	賣轉買		35.6	0.56%
櫃通信	4908	前鼎	-72.0	0.0	-32.0	226	279	-0.04%	0.29%	0.36%	連三週買超	買轉賣		創新高	36.2	-7.42%
食品	1201	味全	-412.0	0.0	678.0	1467	1792	0.13%	0.29%	0.35%	連二週買超	買轉賣			21.75	-5.64%
通信網路	2314	台揚	408.0	0.0	395.0	1117	806	0.17%	0.49%	0.35%	連二週買超	賣轉買			20.65	-8.83%
水泥	1108	幸福	31.0	0.0	-431.0	1416	1391	-0.11%	0.35%	0.34%	連三週買超	賣轉買		創新高	9.1	-4.21%
櫃其他	3284	太普高	0.0	0.0	-404.0	190	190	-0.72%	0.34%	0.34%	賣轉買				12.05	-3.98%
生技醫療	6541	泰福-KY	40.0	0.0	922.0	0	892	0.35%	0.00%	0.34%	賣轉買	連三週買超			49.15	5.81%
電子零組件	3037	欣興	6240.0	1663.0	11878.0	12188	5073	0.79%	0.81%	0.34%	賣轉買	連三週買超	買轉賣		44.8	0.00%
電機	4564	元翎	-1077.0	1.0	-1937.0	-198	606	-1.08%	-0.11%	0.34%	賣轉買	買轉賣			33.15	-8.80%
其他	6592	和潤企業	537.0	0.0	2128.0	1751	1723	0.41%	0.34%	0.33%	賣轉買	連二週買超		創新高	81.9	-0.49%
半導體	5471	松翰	5038.0	0.0	-904.0	4264	557	-0.54%	2.54%	0.33%	賣轉買	賣轉買	連三週賣超		51.8	-10.23%
櫃半導	6488	環球晶	2737.0	614.0	3602.0	4022	1445	0.82%	0.92%	0.33%	賣轉買	賣轉買	賣轉買		383.5	0.00%
半導體	2449	京元電子	-14787.0	20.0	-8653.0	-8559	4035	-0.71%	-0.70%	0.33%	連三週買超	連三週賣超	賣轉買	創新高	32.0	0.16%
半導體	6239	力成	-940.0	5.0	1850.0	779	2567	0.24%	0.10%	0.33%	連三週買超	連三週賣超	買轉賣	創新高	99.2	-1.78%
電腦週邊	2353	宏碁	3442.0	0.0	8875.0	13529	10087	0.29%	0.44%	0.33%	連三週買超	連三週買超	連三週賣超	創新高	17.3	-0.86%
化學	1730	花仙子	860.0	0.0	819.0	822	207	1.30%	1.30%	0.33%	連三週買超	連三週買超		創新高	76.0	-1.30%
電子零組件	6213	聯茂	2746.0	0.0	3001.0	4395	1087	0.90%	1.32%	0.33%	連二週買超	連二週買超	買轉賣		144.0	-0.35%
櫃他電	8183	精星	-533.0	0.0	469.0	-12	388	0.39%	-0.01%	0.32%	連三週買超	連三週賣超			16.65	-8.52%
電機	1558	伸興	-81.0	0.0	132.0	145	186	0.22%	0.24%	0.31%	賣轉買	連三週賣超			133.5	-2.20%
資訊服務	5203	訊連	-600.0	0.0	-156.0	33	260	-0.18%	0.04%	0.31%	賣轉買	買轉賣			106.0	-7.42%
電腦週邊	2376	技嘉	-11829.0	-386.0	-7630.0	-9090	1932	-1.20%	-1.43%	0.30%	連二週買超	連二週賣超	連二週買超	創新高	63.0	-8.83%
光電	5234	達興材料	-145.0	0.0	210.0	215	312	0.20%	0.21%	0.30%	賣轉買	買轉賣	買轉賣	創新高	88.3	-2.75%
半導體	6552	易華電	352.0	0.0	555.0	0	299	0.56%	0.00%	0.30%	賣轉買	連二週買超			59.2	-6.03%
化學	4764	雙鍵	24.0	0.0	247.0	-691	229	0.32%	-0.90%	0.30%	連三週買超	連二週買超		創新高	69.0	-1.00%
櫃生技	4157	太景*-KY	-245.0	0.0	-318.0	1935	2134	-0.04%	0.27%	0.30%	賣轉買	連三週賣超			19.0	4.11%
電腦週邊	2365	昆盈	319.0	0.0	1058.0	938	692	0.45%	0.40%	0.30%	連三週買超	連三週買超		創新高	8.52	-4.16%
櫃半導	6485	點序	7.0	0.0	555.0	122	116	1.41%	0.31%	0.29%	連三週買超	連二週買超		創新高	25.1	-5.28%
櫃半導	3105	穩懋	8008.0	289.0	6487.0	2883	1241	1.53%	0.68%	0.29%	連二週買超	連二週買超	連三週買超		289.0	3.96%
櫃食品	4712	南璋	0.0	0.0	199.0	194	194	0.30%	0.29%	0.29%	連三週買超			創新高	9.7	10.23%
貿易百貨	2912	統一超	-4707.0	0.0	-188.0	311	2995	-0.02%	0.03%	0.29%	賣轉買	連三週賣超	連三週賣超	創新高	296.0	0.68%
電器電纜	1605	華新	3741.0	0.0	10900.0	13304	9563	0.33%	0.40%	0.29%	賣轉買	連三週買超	連二週賣超		13.85	-2.81%
其它電子	3665	貿聯-KY	810.0	33.0	925.0	678	375	0.71%	0.52%	0.29%	連三週買超	連三週買超	連三週買超	創新高	209.5	0.24%
櫃光電	8064	東捷	-406.0	0.0	-108.0	164	472	-0.07%	0.10%	0.29%	賣轉買	買轉賣		創新高	14.65	-6.39%
其它電子	2359	所羅門	-310.0	0.0	147.0	257	491	0.09%	0.15%	0.29%	賣轉買	買轉賣			18.6	-2.11%
其他	4536	拓凱	-126.0	0.0	174.0	236	260	0.19%	0.26%	0.29%	賣轉買	買轉賣	連三週賣超		121.5	-1.62%
櫃電零	8042	金山電	-24.0	0.0	373.0	329	346	0.31%	0.27%	0.28%	連三週買超	連二週賣超		創新高	36.5	5.49%
通信網路	2498	宏達電	-2020.0	0.0	-663.0	655	2300	-0.08%	0.08%	0.28%	賣轉買	買轉賣			29.15	-3.32%
其它電子	3450	聯鈞	1476.0	0.0	1475.0	2403	407	1.01%	1.65%	0.28%	連三週買超	連三週買超	連二週買超	創新高	69.2	-1.14%
電機	1532	勤美	-313.0	248.0	857.0	1078	1072	0.22%	0.28%	0.28%	連二週買超	連三週賣超		創新高	26.9	-6.76%
櫃電零	3548	兆利	-218.0	0.0	10.0	6	166	0.02%	0.01%	0.28%	賣轉買	買轉賣			61.5	-6.53%
生技醫療	1762	中化生	-296.0	0.0	-141.0	0	214	-0.18%	0.00%	0.28%	連二週買超	連二週賣超			53.2	-5.17%
鋼鐵	2020	美亞	538.0	0.0	-1092.0	1023	613	-0.49%	0.46%	0.28%	連二週買超	賣轉買			18.5	1.93%
櫃通路	6270	倍微	-47.0	0.0	-1439.0	158	194	-1.99%	0.22%	0.27%	賣轉買	買轉賣			18.75	-4.82%
電腦週邊	3057	喬鼎	-566.0	0.0	3.0	0	432	0.00%	0.00%	0.27%	賣轉買	連三週賣超			4.73	-3.86%
電腦週邊	6579	研揚	7.0	0.0	401.0	0	395	0.27%	0.00%	0.27%	賣轉買	連二週買超			63.2	-6.78%
櫃電零	8358	金居	-748.0	0.0	-420.0	101	662	-0.17%	0.04%	0.26%	連二週買超	連二週買超	連三週賣超		41.5	-2.70%
化學	4725	信昌化	-308.0	0.0	2586.0	525	764	0.89%	0.18%	0.26%	連三週買超	連三週賣超			6.44	-14.70%
電腦週邊	2301	光寶科	2740.0	-23.0	11192.0	8698	6105	0.48%	0.37%	0.26%	賣轉買	買轉賣	連三週買超		50.8	0.79%
橡膠	2101	南港	-1331.0	0.0	3496.0	1084	2157	0.42%	0.13%	0.26%	賣轉買	連三週賣超			44.65	8.37%
水泥	1102	亞泥	-8011.0	0.0	-665.0	672	8683	-0.02%	0.02%	0.26%	連三週買超	連三週賣超	買轉賣	創新高	44.05	-2.54%
光電	6477	安集	16.0	0.0	235.0	255	243	0.25%	0.27%	0.26%	連三週買超	賣轉買		創新高	22.1	-2.00%
半導體	3035	智原	-902.0	0.0	-43.0	-1814	633	-0.02%	-0.73%	0.25%	賣轉買	連三週賣超	連二週賣超		41.65	-7.24%
櫃他電	3324	雙鴻	-2218.0	0.0	-1240.0	-164	220	-1.43%	-0.19%	0.25%	連二週買超	買轉賣	買轉賣		167.0	-5.38%
櫃半導	5351	鈺創	-242.0	0.0	-387.0	914	1104	-0.09%	0.21%	0.25%	連二週買超	連二週賣超			7.4	-7.96%
電子通路	2459	敦吉	-364.0	0.0	-910.0	0	268	-0.86%	0.00%	0.25%	連三週買超	連三週賣超			40.2	-3.13%
電子零組件	2456	奇力新	-3762.0	-18.0	-2077.0	-3830	646	-0.81%	-1.50%	0.25%	連二週買超	買轉賣	連三週賣超		94.1	-6.37%
汽車	1338	廣華-KY	-439.0	0.0	-107.0	-8	211	-0.13%	-0.01%	0.25%	賣轉買	買轉賣			55.2	-5.64%
櫃生技	4147	中裕	412.0	0.0	931.0	0	633	0.37%	0.00%	0.25%	賣轉買	連二週買超			88.8	-2.84%
櫃半導	8299	群聯	-1794.0	0.0	-584.0	1103	493	-0.30%	0.56%	0.25%	連三週買超	買轉賣	連三週賣超		282.0	-3.42%
櫃光電	5443	均豪	-105.0	0.0	209.0	330	410	0.13%	0.20%	0.25%	連三週買超	連三週賣超		創新高	19.1	-4.50%
櫃其他	8924	大田	-283.0	0.0	73.0	0	208	0.09%	0.00%	0.25%	賣轉買	買轉賣		創新高	38.2	-6.26%
塑膠	1304	台聚	439.0	0.0	2546.0	3328	2949	0.21%	0.28%	0.25%	連二週買超	連二週買超	賣轉買	創新高	11.8	-4.45%
觀光	9943	好樂迪	29.0	0.0	385.0	0	363	0.26%	0.00%	0.25%	賣轉買	連二週買超		創新高	67.1	-1.76%
汽車	6288	聯嘉	150.0	0.0	1195.0	530	417	0.70%	0.31%	0.24%	連三週買超	賣轉買			20.8	-3.26%
電子零組件	2059	川湖	49.0	0.0	259.0	19	231	0.27%	0.02%	0.24%	連二週買超	連三週買超			339.5	-1.31%
電腦週邊	2331	精英	-14.0	0.0	83.0	1337	1349	0.01%	0.24%	0.24%	賣轉買	買轉賣			11.2	-5.49%
觀光	2707	晶華	-248.0	0.0	141.0	-573	307	0.11%	-0.45%	0.24%	連二週買超	買轉賣			154.0	-1.28%
電機	8222	寶一	-1.0	0.0	117.0	164	164	0.17%	0.24%	0.24%	賣轉買				14.8	-9.76%
其它電子	2317	鴻海	23633.0	-4477.0	51961.0	55451	32805	0.37%	0.40%	0.24%	連二週買超	連二週買超	連三週買超	創新高	78.0	-0.64%
貿易百貨	2903	遠百	-424.0	0.0	195.0	2975	3346	0.01%	0.21%	0.24%	連二週買超	連三週賣超		創新高	25.35	1.60%
造紙	1905	華紙	571.0	0.0	1371.0	3087	2599	0.12%	0.28%	0.24%	連二週買超	連二週買超			8.02	-4.18%
電腦週邊	2357	華碩	1094.0	0.0	2485.0	668	1731	0.33%	0.09%	0.23%	賣轉買	買轉賣	連三週買超	創新高	226.0	3.20%
櫃生技	6576	逸達	206.0	0.0	380.0	-30	231	0.38%	-0.03%	0.23%	賣轉買	賣轉買			67.7	-6.75%
營建	2504	國產	-443.0	0.0	1642.0	2770	3159	0.12%	0.20%	0.23%	連三週買超	連二週賣超		創新高	13.9	-2.11%
電腦週邊	6206	飛捷	190.0	0.0	464.0	500	326	0.32%	0.35%	0.23%	連二週買超	賣轉買			70.5	-2.89%
櫃他電	6146	耕興	129.0	4.0	295.0	378	210	0.32%	0.41%	0.23%	賣轉買	賣轉買	買轉賣		223.0	-1.11%
其它電子	2360	致茂	2994.0	0.0	3068.0	756	952	0.73%	0.18%	0.23%	賣轉買	連二週買超	賣轉買		142.5	3.26%
櫃電機	4513	福裕	-6.0	0.0	211.0	169	173	0.27%	0.22%	0.23%	連三週買超	連二週賣超			7.45	2.34%
櫃通信	6109	亞元	-3.0	0.0	130.0	126	128	0.23%	0.22%	0.22%	連三週買超			創新高	10.15	-1.46%
電腦週邊	4938	和碩	6218.0	-10976.0	843.0	-1827	5789	0.03%	-0.07%	0.22%	連三週買超	連二週買超	連三週買超	創新高	69.1	4.22%
半導體	8131	福懋科	-63.0	0.0	297.0	928	977	0.07%	0.21%	0.22%	賣轉買	買轉賣	買轉賣		37.45	-2.47%
生技醫療	1720	生達	1825.0	0.0	1222.0	1751	394	0.68%	0.98%	0.22%	賣轉買	連三週買超	買轉賣		41.1	0.49%
營建	2538	基泰	56.0	0.0	558.0	1008	964	0.13%	0.23%	0.22%	賣轉買	連二週買超			10.0	-3.85%
電機	1560	中砂	-293.0	0.0	97.0	-28	310	0.07%	-0.02%	0.22%	賣轉買	買轉賣	連二週賣超		60.1	-2.75%
櫃電腦	6123	上奇	9.0	0.0	443.0	135	129	0.75%	0.23%	0.22%	賣轉買	連三週買超			40.1	-7.07%
塑膠	1308	亞聚	870.0	0.0	18.0	1884	1193	0.00%	0.34%	0.22%	賣轉買	賣轉買	買轉賣	創新高	18.35	-1.34%
其他	9945	潤泰新	3747.0	0.0	3307.0	5216	2142	0.33%	0.52%	0.21%	賣轉買	連二週買超			49.8	2.15%
光電	4956	光鋐	-287.0	0.0	-160.0	0	214	-0.16%	0.00%	0.21%	連二週買超	買轉賣		創新高	18.75	-11.35%
營建	5519	隆大	55.0	0.0	162.0	504	462	0.07%	0.23%	0.21%	賣轉買	連二週買超			14.95	-2.92%
化學	3708	上緯投控	391.0	0.0	475.0	-1019	197	0.51%	-1.09%	0.21%	連二週買超	連三週買超			82.5	-5.06%
其他	6670	復盛應用	-663.0	0.0	-162.0	1192	275	-0.12%	0.91%	0.21%	連二週買超	買轉賣	連三週買超		173.0	-3.35%
櫃他電	3289	宜特	1248.0	0.0	265.0	1104	196	0.28%	1.18%	0.21%	連二週買超	賣轉買			53.0	-6.85%
半導體	3014	聯陽	-374.0	0.0	-787.0	64	337	-0.49%	0.04%	0.21%	賣轉買	連三週賣超			59.9	-0.33%
櫃生技	1799	易威	-352.0	0.0	-560.0	0	263	-0.44%	0.00%	0.21%	連二週買超	連二週賣超		創新高	22.0	27.17%
資訊服務	3029	零壹	4152.0	0.0	3594.0	3333	260	2.88%	2.67%	0.21%	連二週買超	連三週買超			37.4	1.36%
其他	6464	台數科	4.0	0.0	257.0	748	254	0.21%	0.61%	0.21%	連三週買超	連二週買超			123.0	6.49%
橡膠	2102	泰豐	1601.0	0.0	159.0	2224	964	0.03%	0.47%	0.20%	連二週買超	連三週買超		創新高	16.25	-4.13%
營建	2516	新建	-594.0	0.0	-267.0	0	457	-0.12%	0.00%	0.20%	連二週買超	連三週賣超		創新高	5.13	3.22%
其他	8341	日友	-163.0	0.0	126.0	144	224	0.11%	0.13%	0.20%	賣轉買	買轉賣	連三週賣超		259.0	-4.95%
櫃通信	6245	立端	-280.0	106.0	140.0	-342	237	0.12%	-0.29%	0.20%	連三週買超	買轉賣	連二週賣超		59.5	-4.03%
櫃電零	3511	矽瑪	-216.0	0.0	-350.0	0	160	-0.44%	0.00%	0.20%	賣轉買	買轉賣			26.0	-10.50%
電子零組件	3003	健和興	-337.0	0.0	-1332.0	62	311	-0.86%	0.04%	0.20%	連三週買超	連二週買超	買轉賣	創新高	40.3	-3.82%
電子零組件	2472	立隆	-749.0	0.0	-1016.0	-297	255	-0.79%	-0.23%	0.20%	賣轉買	買轉賣			42.8	0.59%
通信網路	3027	盛達	9.0	0.0	323.0	197	191	0.33%	0.20%	0.19%	賣轉買				8.52	-5.54%
櫃電零	6156	松上	-14.0	0.0	-377.0	146	157	-0.46%	0.18%	0.19%	連三週買超	連三週賣超		創新高	13.15	3.95%
紡織	1459	聯發	-11.0	0.0	844.0	681	690	0.24%	0.19%	0.19%	連三週買超	買轉賣		創新高	7.71	0.13%
櫃生技	6612	奈米醫材	-89.0	0.0	1.0	0	64	0.00%	0.00%	0.19%	賣轉買	買轉賣		創新高	72.6	-2.94%
櫃光電	6167	久正	1.0	0.0	-16.0	308	307	-0.01%	0.19%	0.19%	連三週買超	連二週買超		創新高	6.78	-1.74%
櫃電零	6432	今展科	-63.0	0.0	0.0	0	46	0.00%	0.00%	0.19%	連三週買超	連三週賣超			27.85	-6.54%
半導體	3711	日月光投控	-4465.0	-854.0	2799.0	2169	8118	0.06%	0.05%	0.19%	連三週買超	買轉賣	買轉賣	創新高	66.3	-2.79%
汽車	1568	倉佑	19.0	0.0	150.0	206	191	0.15%	0.20%	0.19%	連三週買超	連二週買超			15.9	-1.55%
櫃電腦	3594	磐儀	-49.0	0.0	168.0	83	119	0.26%	0.13%	0.19%	連三週買超	連二週賣超			20.5	2.50%
橡膠	6582	申豐	524.0	0.0	560.0	0	193	0.53%	0.00%	0.18%	賣轉買	連三週買超			102.0	-10.13%
櫃文創	6180	橘子	-280.0	0.0	117.0	-1281	321	0.07%	-0.73%	0.18%	賣轉買	連二週賣超	連二週賣超		63.0	-1.87%
營建	1805	寶徠	14.0	0.0	-318.0	190	180	-0.32%	0.19%	0.18%	連三週買超	連三週買超		創新高	9.65	15.99%
櫃電腦	6121	新普	-455.0	-8.0	59.0	-536	328	0.03%	-0.29%	0.18%	賣轉買	賣轉買	買轉賣		324.0	-3.71%
櫃化工	6509	聚和	-693.0	0.0	-1023.0	-211	312	-0.58%	-0.12%	0.18%	連二週買超	連二週賣超			19.3	-7.21%
櫃半導	6679	鈺太	-153.0	0.0	-28.0	0	73	-0.07%	0.00%	0.18%	賣轉買	賣轉買	連三週買超		153.5	-7.81%
電子通路	5434	崇越	411.0	1.0	612.0	-417	321	0.34%	-0.23%	0.18%	賣轉買	連二週買超			106.0	-2.30%
生技醫療	1736	喬山	240.0	0.0	713.0	-455	536	0.23%	-0.15%	0.18%	賣轉買	連三週買超	連三週買超		72.9	-1.49%
櫃電零	6210	慶生	-84.0	0.0	-2.0	0	61	-0.01%	0.00%	0.17%	賣轉買	買轉賣			45.25	-4.33%
光電	2349	錸德	-477.0	0.0	660.0	1797	2215	0.05%	0.14%	0.17%	連二週買超	買轉賣	連三週賣超	創新高	5.47	-5.85%
櫃文創	9949	琉園	0.0	0.0	62.0	79	80	0.13%	0.17%	0.17%	連三週買超				13.25	-0.75%
櫃文創	6101	寬魚國際	0.0	0.0	195.0	197	198	0.17%	0.17%	0.17%	連三週買超				30.8	-0.81%
櫃他電	5536	聖暉	-150.0	0.0	-2.0	-10	92	-0.00%	-0.02%	0.17%	連二週買超	連三週賣超			208.0	-2.35%
汽車	1592	英瑞-KY	-189.0	0.0	0.0	44	187	0.00%	0.04%	0.17%	連三週買超	連三週賣超			12.25	8.41%
櫃資服	6697	東捷資訊	-64.0	0.0	0.0	0	46	0.00%	0.00%	0.17%	賣轉買	買轉賣			44.5	-11.35%
櫃電機	4528	江興鍛	-30.0	0.0	517.0	107	128	0.68%	0.14%	0.17%	連三週買超			創新高	42.0	-5.41%
櫃光電	5371	中光電	-1267.0	0.0	1205.0	-260	720	0.28%	-0.06%	0.17%	連三週買超	連三週賣超	賣轉買		31.7	-1.09%
櫃通信	3558	神準	10.0	0.0	88.0	0	81	0.18%	0.00%	0.17%	連三週買超	買轉賣		創新高	103.5	-8.41%
資訊服務	6214	精誠	248.0	0.0	624.0	0	443	0.23%	0.00%	0.16%	賣轉買	賣轉買			79.9	-0.99%
橡膠	2103	台橡	-2453.0	1.0	489.0	-660	1356	0.06%	-0.08%	0.16%	連三週買超	買轉賣			16.95	-3.69%
食品	1217	愛之味	-1579.0	0.0	-665.0	-445	810	-0.13%	-0.09%	0.16%	賣轉買	買轉賣			7.36	-1.74%
櫃電零	6217	中探針	-144.0	0.0	-69.0	0	106	-0.11%	0.00%	0.16%	賣轉買	買轉賣			29.85	-7.87%
電子零組件	3550	聯穎	12.0	0.0	148.0	144	135	0.17%	0.17%	0.16%	連三週買超	賣轉買			12.4	-0.80%
櫃半導	6435	大中	-75.0	0.0	0.0	0	52	0.00%	0.00%	0.16%	賣轉買	買轉賣			89.1	-6.01%
造紙	1907	永豐餘	1701.0	0.0	1621.0	4150	2606	0.10%	0.25%	0.16%	賣轉買	賣轉買		創新高	13.25	-3.28%
光電	3535	晶彩科	-157.0	0.0	394.0	7	124	0.50%	0.01%	0.16%	賣轉買	買轉賣			15.25	-8.13%
電腦週邊	3231	緯創	17150.0	0.0	26133.0	21588	4439	0.92%	0.76%	0.16%	賣轉買	連三週買超	連三週買超		30.7	3.02%
貿易百貨	2913	農林	331.0	0.0	513.0	1500	1229	0.06%	0.19%	0.16%	連二週買超	賣轉買		創新高	15.2	-1.94%
電機	4566	時碩工業	-142.0	0.0	0.0	0	104	0.00%	0.00%	0.15%	賣轉買	買轉賣			39.0	-7.03%
其他	9942	茂順	-180.0	0.0	-2.0	0	127	-0.00%	0.00%	0.15%	連二週買超	連三週賣超			65.0	-1.52%
櫃電腦	5426	振發	-4.0	0.0	767.0	215	219	0.53%	0.15%	0.15%	連三週買超			創新高	10.4	0.48%
櫃半導	3529	力旺	1856.0	0.0	1018.0	568	115	1.34%	0.75%	0.15%	賣轉買	賣轉買	連三週買超		452.0	19.10%
櫃紡織	4401	東隆興	-261.0	0.0	-31.0	-12	182	-0.03%	-0.01%	0.15%	賣轉買	買轉賣			26.65	-6.16%
櫃橡膠	5102	富強	0.0	0.0	95.0	96	96	0.15%	0.15%	0.15%	連三週買超			創新高	15.45	-0.64%
櫃電零	3512	皇龍	0.0	0.0	45.0	106	106	0.06%	0.15%	0.15%	連三週買超				29.0	-0.51%
半導體	3034	聯詠	1912.0	-153.0	2054.0	5963	901	0.34%	0.98%	0.15%	連三週買超	連二週買超	買轉賣	創新高	213.5	-0.70%
其他	9904	寶成	1027.0	223.0	974.0	5598	4349	0.03%	0.19%	0.15%	連三週買超	連二週買超	連二週賣超		28.9	-4.30%
櫃化工	4721	美琪瑪	-195.0	0.0	-30.0	0	110	-0.04%	0.00%	0.15%	連二週買超	連二週賣超			57.5	-1.71%
櫃他電	3580	友威科	-78.0	0.0	24.0	0	57	0.06%	0.00%	0.14%	賣轉買	買轉賣		創新高	24.15	-4.36%
紡織	1477	聚陽	6339.0	209.0	4827.0	5738	312	2.20%	2.61%	0.14%	賣轉買	賣轉買	連三週買超		154.5	-1.28%
櫃生技	1593	祺驊	-13.0	0.0	-133.0	35	45	-0.42%	0.11%	0.14%	連三週買超	買轉賣			51.2	-11.88%
電子零組件	2415	錩新	-148.0	0.0	0.0	0	110	0.00%	0.00%	0.14%	賣轉買	買轉賣			16.8	1.51%
電子零組件	1582	信錦	-331.0	0.0	-67.0	-12	169	-0.05%	-0.01%	0.14%	連二週買超	連三週賣超			80.6	-2.89%
櫃電零	4939	亞電	-86.0	0.0	54.0	68	133	0.05%	0.07%	0.14%	賣轉買	買轉賣		創新高	13.3	-6.99%
通信網路	8011	台通	-211.0	0.0	462.0	0	158	0.39%	0.00%	0.13%	連三週買超	連三週賣超			16.85	-4.80%
紡織	1440	南紡	681.0	-2.0	773.0	2816	2198	0.05%	0.17%	0.13%	連二週買超	連二週買超			9.57	0.10%
營建	2545	皇翔	-42.0	0.0	413.0	393	426	0.13%	0.12%	0.13%	連三週買超	買轉賣		創新高	34.5	-3.90%
電腦週邊	3494	誠研	-1.0	0.0	227.0	233	233	0.13%	0.13%	0.13%	連三週買超	買轉賣		創新高	3.49	-1.41%
鋼鐵	2033	佳大	2.0	0.0	117.0	104	103	0.14%	0.13%	0.13%	連二週買超	連二週賣超		創新高	9.1	-1.19%
櫃半導	3268	海德威	2.0	0.0	38.0	43	42	0.11%	0.13%	0.13%	連二週買超	賣轉買		創新高	10.45	1.95%
電子零組件	6191	精成科	-36.0	0.0	2074.0	618	647	0.40%	0.12%	0.13%	賣轉買	連三週賣超			14.05	-5.39%
化學	1712	興農	-240.0	0.0	-193.0	336	524	-0.05%	0.08%	0.12%	連三週買超	買轉賣		創新高	18.2	-1.36%
航運	2630	亞航	-7.0	0.0	140.0	144	149	0.12%	0.12%	0.12%	賣轉買	買轉賣		創新高	16.6	1.53%
櫃文創	5478	智冠	-555.0	0.0	-232.0	-63	158	-0.18%	-0.05%	0.12%	賣轉買	賣轉買	連三週賣超		99.0	-12.00%
電腦週邊	3712	永崴投控	-304.0	0.0	318.0	73	305	0.13%	0.03%	0.12%	賣轉買	買轉賣			18.25	21.67%
貿易百貨	8429	金麗-KY	-33.0	0.0	149.0	204	230	0.08%	0.11%	0.12%	賣轉買	買轉賣		創新高	7.21	-4.50%
生技醫療	3164	景岳	20.0	0.0	61.0	124	110	0.07%	0.14%	0.12%	連三週買超	連二週買超			23.8	-1.04%
鋼鐵	2013	中鋼構	-142.0	0.0	56.0	140	247	0.03%	0.07%	0.12%	賣轉買	買轉賣		創新高	24.55	-2.39%
櫃通信	6514	芮特-KY	-11.0	0.0	30.0	30	37	0.10%	0.10%	0.12%	連三週買超	連三週賣超		創新高	60.7	-7.89%
營建	2537	聯上發	-1177.0	0.0	-999.0	-541	370	-0.33%	-0.18%	0.12%	賣轉買	連三週賣超			9.69	-3.58%
櫃光電	3523	迎輝	7.0	0.0	-27.0	114	108	-0.03%	0.13%	0.12%	連二週買超	賣轉買			13.0	10.17%
櫃電機	4502	健信	3.0	0.0	64.0	64	61	0.13%	0.13%	0.12%	賣轉買	連二週買超			53.1	0.19%
半導體	2379	瑞昱	985.0	-42.0	1205.0	-1378	617	0.24%	-0.27%	0.12%	連三週買超	連二週買超	連三週買超		270.5	0.37%
光電	3454	晶睿	-148.0	0.0	0.0	0	105	0.00%	0.00%	0.12%	賣轉買	買轉賣			72.4	-1.36%
汽車	1522	堤維西	-817.0	0.0	-494.0	-250	376	-0.16%	-0.08%	0.12%	賣轉買	買轉賣			25.1	-2.33%
櫃電機	4563	百德	-91.0	0.0	0.0	0	66	0.00%	0.00%	0.12%	連三週買超	買轉賣		創新高	36.2	-0.69%
櫃半導	3317	尼克森	-91.0	0.0	-804.0	6	73	-1.31%	0.01%	0.12%	賣轉買	買轉賣			37.7	-10.34%
其他	8404	百和興業-KY	-244.0	0.0	298.0	189	375	0.09%	0.06%	0.12%	賣轉買	連三週賣超			31.0	0.00%
通信網路	6285	啟碁	-537.0	7.0	68.0	702	464	0.02%	0.18%	0.12%	連二週買超	連二週賣超	買轉賣		63.2	-5.11%
櫃通信	8171	天宇	-75.0	0.0	-244.0	5	60	-0.48%	0.01%	0.12%	連三週買超	連三週賣超			14.45	-2.69%
電子零組件	2383	台光電	-1375.0	12.0	-566.0	-767	374	-0.18%	-0.24%	0.12%	連三週買超	連三週賣超	連三週買超	創新高	149.0	0.68%
其它電子	6192	巨路	-188.0	0.0	-11.0	0	124	-0.01%	0.00%	0.12%	賣轉買	買轉賣			65.9	-2.51%
櫃電零	5498	凱崴	29.0	0.0	1028.0	214	191	0.62%	0.13%	0.12%	連二週買超	賣轉買			11.15	-6.30%
櫃電機	6609	瀧澤科	-44.0	0.0	14.0	50	83	0.02%	0.07%	0.11%	連三週買超	連二週賣超		創新高	26.0	-0.76%
其他	9941	裕融	-78.0	0.0	291.0	-151	346	0.10%	-0.05%	0.11%	賣轉買	連二週賣超			107.5	-0.46%
航運	2642	宅配通	-161.0	0.0	-20.0	-9	109	-0.02%	-0.01%	0.11%	連三週買超	連三週賣超			36.7	-1.34%
櫃電零	3191	和進	13.0	0.0	-73.0	74	64	-0.13%	0.13%	0.11%	連二週買超	賣轉買			45.8	-3.68%
櫃通路	6113	亞矽	-9.0	0.0	50.0	50	56	0.10%	0.10%	0.11%	連三週買超	買轉賣		創新高	5.74	-0.17%
光電	3356	奇偶	-135.0	0.0	-541.0	0	100	-0.60%	0.00%	0.11%	賣轉買	買轉賣			22.05	-10.37%
光電	3622	洋華	4.0	0.0	-203.0	166	163	-0.13%	0.11%	0.11%	連三週買超	連二週買超		創新高	19.6	-1.26%
鋼鐵	2010	春源	264.0	0.0	519.0	906	693	0.08%	0.14%	0.11%	連二週買超	賣轉買			9.68	-0.72%
電機	1531	高林股	-113.0	0.0	44.0	111	197	0.02%	0.06%	0.11%	連三週買超	連三週賣超		創新高	11.85	-7.06%
